"SeqNo";"Type";"DHID";"Parent";"Name";"Latitude";"Longitude";"MunicipalityCode";"Municipality";"DistrictCode";"District";"Condition";"State";"Description";"Authority";"DelfiName";"TariffDHID";"TariffName"
"508";"S";"de:09161:7630";"de:09161:7630";"IN, Theodor-Heuss-Straße";"48,77904";"11,44038";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"509";"Q";"de:09161:7630:0:1";"de:09161:7630";"1";"48,77916";"11,44025";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"510";"Q";"de:09161:7630:0:2";"de:09161:7630";"2";"48,77895";"11,44051";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"511";"S";"de:09161:7635";"de:09161:7635";"IN, Audi - T2";"48,79258";"11,40809";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"512";"Q";"de:09161:7635:0:1";"de:09161:7635";"1";"48,79247";"11,40815";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"513";"Q";"de:09161:7635:0:2";"de:09161:7635";"2";"48,79271";"11,40804";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"514";"S";"de:09161:7668";"de:09161:7668";"IN, Audi - T41";"48,79392";"11,4093";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"515";"Q";"de:09161:7668:0:1";"de:09161:7668";"1";"48,79398";"11,40931";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"516";"Q";"de:09161:7668:0:2";"de:09161:7668";"2";"48,7939";"11,40936";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"517";"S";"de:09161:7678";"de:09161:7678";"IN, Audi - Bahnhalt Süd";"48,78965";"11,4089";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"518";"Q";"de:09161:7678:0:1";"de:09161:7678";"1";"48,78975";"11,40893";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"519";"Q";"de:09161:7678:0:2";"de:09161:7678";"2";"48,78956";"11,40889";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"520";"S";"de:09161:7688";"de:09161:7688";"IN, Buxheimer Weg";"48,76863";"11,40715";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"521";"Q";"de:09161:7688:0:1";"de:09161:7688";"1";"48,76862";"11,40704";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"522";"Q";"de:09161:7688:0:2";"de:09161:7688";"2";"48,76863";"11,40715";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"523";"S";"de:09161:769";"de:09161:769";"IN, Am Westpark/Audi-Ring";"48,77193";"11,3896";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"524";"Q";"de:09161:769:0:1";"de:09161:769";"1";"48,77237";"11,38904";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"525";"Q";"de:09161:769:0:2";"de:09161:769";"2";"48,77233";"11,38986";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"526";"Q";"de:09161:769:0:20";"de:09161:769";"20";"48,77108";"11,38994";"00000000";"-";"-";"-";"Unknown";"Unknown";"20";"BEG";"-";"-";"-"
"527";"S";"de:09161:773";"de:09161:773";"Winden (Ingolst.), Glöckelweg";"48,70259";"11,38888";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
"528";"Q";"de:09161:773:0:99";"de:09161:773";"99";"48,70259";"11,38887";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"529";"S";"de:09161:7837";"de:09161:7837";"IN, Kleingartenanlage";"48,79979";"11,40349";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"530";"Q";"de:09161:7837:0:1";"de:09161:7837";"1";"48,7997";"11,40345";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"531";"Q";"de:09161:7837:0:2";"de:09161:7837";"2";"48,79987";"11,40348";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"532";"S";"de:09161:7854";"de:09161:7854";"IN, Am Westerberg";"48,80898";"11,39954";"09161000";"Ingolstadt";"-";"-";"Served";"Unknown";"";"BEG";"-";"-";"-"
"533";"Q";"de:09161:7854:0:1";"de:09161:7854";"1";"48,80898";"11,39976";"00000000";"-";"-";"-";"Unknown";"Unknown";"1";"BEG";"-";"-";"-"
"534";"Q";"de:09161:7854:0:2";"de:09161:7854";"2";"48,80898";"11,39933";"00000000";"-";"-";"-";"Unknown";"Unknown";"2";"BEG";"-";"-";"-"
"535";"S";"de:09161:79";"de:09161:79";"IN, Aventinstraße";"48,75084";"11,4278";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";"-"
"536";"Q";"de:09161:79:0:1";"de:09161:79";"1";"48,75085";"11,4278";"00000000";"-";"-";"-";"Served";"InOrder";"";"BEG";"-";"-";"-"
"537";"S";"de:09161:790";"de:09161:790";"Zuchering, Schule";"48,71482";"11,40992";"09161000";"Ingolstadt";"";"";"Served";"InOrder";"";"BEG";"-";"";""
